ConfigID,name,index,minTemperature,maxTemperature,hFOVPixels,vFOVPixels,hFOVDeg,vFOVDeg,senSim_percentBlur,senSim_percentNoise,trackFilePath
1226,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.0,1.0,E:\track.trk
1227,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.0,1.0,E:\track.trk
1228,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.0,1.0,E:\track.trk
1229,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.0,1.0,E:\track.trk
1230,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.0,1.0,E:\track.trk
1231,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.5,1.0,E:\track.trk
1232,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.5,1.0,E:\track.trk
1233,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.5,1.0,E:\track.trk
1234,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.5,1.0,E:\track.trk
1235,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.5,1.0,E:\track.trk
1236,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.5,1.0,E:\track.trk
1237,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,1.0,1.0,E:\track.trk
1238,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,1.0,1.0,E:\track.trk
1239,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,1.0,1.0,E:\track.trk
1240,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,1.0,1.0,E:\track.trk
1241,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,1.0,1.0,E:\track.trk
1242,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,1.0,1.0,E:\track.trk
